geography,indicator,hypothesis,phase,article value,P5,P50,P95,P5 vs article (%),P95 vs article (%)
World,Net operating surplus (M EUR),A1,Phase 1,172.48743888753526,142.03735637773795,164.074661182891,181.53190709538666,-17.65350723866408,5.243551800747959
World,Net operating surplus (M EUR),A1,Phase 2,230.6668701728032,210.78229368352535,234.48556164877232,246.61337034843885,-8.62047353153983,6.913216520295862
World,Net operating surplus (M EUR),A1,Phase 3,729.9159115450935,661.8108364072914,736.8720135966573,777.4406005400868,-9.33053712908335,6.510981366934798
World,Net operating surplus (M EUR),A1,All phases,1133.070220605432,1023.3377736452694,1126.8745815376146,1197.3223568042697,-9.684523074088858,5.670622617237786
World,Net operating surplus (M EUR),A2,Phase 1,172.5646966200476,142.2844323225382,164.15191891540334,181.91969980823038,-17.54719527840645,5.421157033515711
World,Net operating surplus (M EUR),A2,Phase 2,192.23239395152692,186.03512583489288,197.93692490919716,208.70441970192937,-3.2238417205565972,8.568808519627558
World,Net operating surplus (M EUR),A2,Phase 3,729.9159115450935,661.8108364072914,736.8720135966573,777.4406005400868,-9.33053712908335,6.510981366934798
World,Net operating surplus (M EUR),A2,All phases,1094.7130021166681,998.7486342856294,1091.0082967006888,1159.6816627781254,-8.766166807691889,5.934766512852052
World,Net operating surplus (M EUR),A3,Phase 1,172.5646966200476,142.2844323225382,164.15191891540334,181.91969980823038,-17.54719527840645,5.421157033515711
World,Net operating surplus (M EUR),A3,Phase 2,205.04388602528567,194.284181784437,209.80520507309257,221.22174152629333,-5.247512837091762,7.889947764164318
World,Net operating surplus (M EUR),A3,Phase 3,729.9159115450935,661.8108364072914,736.8720135966573,777.4406005400868,-9.33053712908335,6.510981366934798
World,Net operating surplus (M EUR),A3,All phases,1107.5244941904268,1006.9976902351735,1103.0085507684867,1172.2948808758667,-9.076711574558527,5.848212570033096
World,Net operating surplus (M EUR),B1,Phase 1,152.63777747626162,142.30998692855684,155.03568263149455,164.39780866879263,-6.766208679441088,7.704535133420665
World,Net operating surplus (M EUR),B1,Phase 2,249.91477211027808,231.87991961428622,255.75225366732147,275.4652798530618,-7.216401152963359,10.22368847068762
World,Net operating surplus (M EUR),B1,Phase 3,764.8564449068754,706.381214229215,782.9399267671677,844.8417499207591,-7.6452556642547576,10.457557826243091
World,Net operating surplus (M EUR),B1,All phases,1167.408994493415,1080.6571118307484,1193.8672847173848,1284.6791002669647,-7.431147358969237,10.04533169837687
World,Net operating surplus (M EUR),B2,Phase 1,156.98576855535444,134.43071483991247,150.56002468817093,165.58499954700432,-14.367578617477594,5.477713725762157
